
CSUD3;CSU DIGITAL S.A.;19,64;9,87;2,07;5,00;0,7750;9,54;2,00
CSMG3;COPASA;18,95;20,75;3,40;8,83;0,3843;5,56;0,91
CTKA3;KARSTEN;18,00;-20,01;6,19;-;0,0000;2,91;-0,90
CTNM3;COTEMINAS;8,78;7,84;-13,80;-;0,0000;-0,64;1,12
CTCA3;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;0,00;2,69;0,34;-;0,0992;0,00;0,00
CTKA4;KARSTEN;19,49;-20,01;6,19;-;0,0000;3,15;-0,97
CTNM4;COTEMINAS;1,38;7,84;-13,80;-;0,0000;-0,10;0,18
CTSA4;SANTANENSE;1,65;8,28;-1,77;-;0,0000;-0,93;0,20
CVCB3;CVC BRASIL;3,15;0,98;-1,08;-;0,0000;-2,92;3,20
CTSA3;SANTANENSE;2,14;8,28;-1,77;-;0,0000;-1,23;0,26
CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.;16,76;3,16;1,42;4,78;0,5154;11,63;5,21
CXSE3;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;11,14;4,25;1,18;9,03;0,6486;9,51;2,63
CYRE3;CYRELA;20,91;19,47;2,26;2,46;0,5648;9,22;1,07
DASA3;DASA;10,14;10,55;-1,12;0,96;0,0000;-9,06;0,96
DESK3;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.;16,13;10,94;0,77;0,12;0,0141;20,75;1,47
DIRR3;DIRECIONAL ENGENHARIA;19,98;11,15;1,78;3,48;0,4700;11,29;1,80
DEXP3;DEXXOS PARTICIPACOES S.A.;11,90;7,34;1,70;2,26;0,3848;7,01;1,62
DEXP4;DEXXOS PARTICIPACOES S.A.;10,90;7,34;1,70;2,51;0,4057;6,42;1,48
DOHL4;DOHLER;5,71;9,24;-0,12;-;0,1320;-46,30;0,62
DOTZ3;Dotz S.A.;1,00;-1,68;-0,63;-;;-1,57;-0,59
DOHL3;DOHLER;7,00;9,24;-0,12;-;0,1200;-56,76;0,76
DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;4,96;17,03;0,30;-;;16,59;0,29
DTCY3;DTCOM;4,85;-0,15;0,06;-;;79,27;-32,62
DTCY4;DTCOM;62,60;-0,15;0,06;-;;1.023,21;-421,03
DXCO3;DURATEX;7,26;7,81;0,99;4,64;0,0000;7,38;0,93
EALT3;ELECTRO ACO ALTONA;8,50;10,28;1,50;2,53;1,1422;5,66;0,83
EALT4;ELECTRO ACO ALTONA;8,68;10,28;1,50;2,72;1,2564;5,78;0,84
ECOR3;ECORODOVIAS;8,40;3,96;0,80;0,09;0,0000;10,31;2,10
EGIE3;ENGIE BRASIL;43,14;10,34;4,13;8,25;2,1648;10,41;4,16
EKTR3;ELEKTRO;33,50;14,07;4,50;4,15;7,1613;7,45;2,38
ELET3;ELETROBRAS;40,41;49,03;1,39;0,54;0,7735;29,36;0,83
EKTR4;ELEKTRO;38,80;14,07;4,50;3,94;7,8774;8,63;2,76
ELET6;ELETROBRAS;44,34;49,03;1,39;3,35;1,6141;32,10;0,91
ELET5;ELETROBRAS;85,00;49,03;1,39;2,41;2,1521;61,25;1,73
ELMD3;ELETROMIDIA S.A.;15,00;5,72;0,42;-;;36,20;2,63
EMAE3;EMAE - EMPRESA METROP.AGUAS ENERGIA;25,35;31,37;2,50;7,12;0,8012;10,14;0,81
EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA;61,00;31,37;2,50;3,26;0,8813;24,40;1,94
EMBR3;EMBRAER;19,88;17,23;-0,06;-;0,0000;-357,70;1,15
ENGI3;ENERGISA;17,02;5,91;0,83;1,77;0,2320;20,50;2,87
ENGI4;ENERGISA;8,73;5,91;0,83;3,44;0,2320;10,54;1,48
ENEV3;ENEVA;12,84;8,17;0,21;-;0,0000;61,42;1,57
ENJU3;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;1,58;1,75;-0,22;-;;-7,27;0,90
ENMT3;ENERGISA MATO GROSSO;61,20;16,21;5,27;2,74;3,5399;11,62;3,78
ENMT4;ENERGISA MATO GROSSO;66,00;16,21;5,27;2,54;3,5399;12,53;4,07
EPAR3;EMBPAR PARTICIPACOES S.A.;13,53;8,33;2,13;-;2,0188;6,33;1,62
EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;6,76;2,02;0,96;7,45;0,1300;7,08;3,35
EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;7,10;2,02;0,96;7,09;0,1300;7,43;3,52
EQPA7;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;7,30;2,02;0,96;6,90;0,1300;7,64;3,62
EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;10,05;2,02;0,96;5,01;0,1300;10,52;4,99
EQTL3;EQUATORIAL ENERGIA;34,30;17,09;1,63;1,02;0,6400;21,21;2,02
ESPA3;MPM CORPÓREOS S.A.;1,42;2,43;-0,06;-;0,0000;-24,91;0,57
ESTR3;ESTRELA;12,00;-68,03;-8,42;-;0,0000;-1,42;-0,18
ETER3;ETERNIT;9,00;11,50;0,94;2,78;0,8317;9,51;0,78
ESTR4;ESTRELA;6,00;-68,03;-8,42;-;0,0000;-0,71;-0,09
EUCA3;EUCATEX;15,10;23,81;2,97;4,71;0,0000;5,14;0,64
EUCA4;EUCATEX;14,61;23,81;2,97;5,41;0,0000;4,92;0,61
EVEN3;EVEN CONSTRUTORA E INCORPORADORA;7,19;9,69;0,79;5,58;0,1500;9,06;0,74
FESA3;FERBASA;63,99;36,78;5,43;4,65;3,2371;11,78;1,74
EZTC3;EZ TEC;17,92;20,81;0,85;0,90;0,7783;21,20;0,87
FIGE3;INVESTIMENTOS BEMGE;11,99;66,67;3,81;0,33;0,0247;3,15;0,18
FHER3;FERTILIZANTES HERINGER;7,65;0,72;-7,48;-;0,0000;-1,02;10,53
FIEI3;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A;12,50;34,21;0,90;-;0,0000;13,89;0,37
FESA4;FERBASA;48,53;36,78;5,43;6,68;3,5609;9,03;1,33
FLRY3;FLEURY;17,08;9,46;0,68;2,71;0,7098;25,03;1,81
